"Rebaix","Rebaix"
"Remicourt","Remicourt"
"Ronse","Ronse"
"Rhisnes","Rhisnes"
"Sint-Genesius-Rode","Sint Genesius Rode"
"Rivage","Rivage"
"Rixensart","Rixensart"
"Roeselare","Roeselare"
"Ronet","Ronet"
"Roux","Roux"
"Ruisbroek","Ruisbroek"
"Ruisbroek-Sauvegarde","Ruisbroek Sauvegarde"
"Saint-Denis-Bovesse","Saint Denis Bovesse"
"Saint-Ghislain","Saint Ghislain"
"Sint-Job","Sint Job"
"Sart-Bernard","Sart Bernard"
"Schaarbeek/Schaerbeek","Schaarbeek Schaerbeek"
"Scheldewindeke","Scheldewindeke"
"Schelle","Schelle"
"Schellebelle","Schellebelle"
"Schendelbeke","Schendelbeke"
"Schoonaarde","Schoonaarde"
"Schulen","Schulen"
"Sclaigneaux","Sclaigneaux"
"Sclessin","Sclessin"
"Serskamp","Serskamp"
"Silly","Silly"
"Simonis","Simonis"
"Sinaai","Sinaai"
"Sint-Denijs-Boekel","Sint Denijs Boekel"
"Sint-Gillis-Dendermonde","Sint Gillis Dendermonde"
"Sint-Joris-Weert","Sint Joris Weert"
"Sint-Katelijne-Waver","Sint Katelijne Waver"
"Sint-Mariaburg","Sint Mariaburg"
"Sint-Martens-Bodegem","Sint Martens Bodegem"
"Sint-Niklaas","Sint Niklaas"
"Sint-Truiden","Sint Truiden"
"Sleidinge","Sleidinge"
"Soignies","Soignies"
"Solre-sur-Sambre","Solre sur Sambre"
"Spa","Spa"
"Spa-Géronstère","Spa Géronstère"
"Statte","Statte"
"Stockem","Stockem"
"Sy","Sy"
"Tamines","Tamines"
"Temse","Temse"
"Terhagen","Terhagen"
"Ternat","Ternat"
"Testelt","Testelt"
"Theux","Theux"
"Thieu","Thieu"
"Thuin","Thuin"
"Thulin","Thulin"
"Tielen","Tielen"
"Tielt","Tielt"
"Tienen","Tienen"
"Tilff","Tilff"
"Tilly","Tilly"
"Tollembeek","Tollembeek"
"Tongeren","Tongeren"
"Torhout","Torhout"
"Tournai","Tournai"
"Trois-Ponts","Trois Ponts"
"Trooz","Trooz"
"Tubize","Tubize"
"Turnhout","Turnhout"
"Ukkel-Kalevoet/Uccle-Calevoet","Ukkel Kalevoet Uccle Calevoet"
"Ukkel-Stalle/Uccle-Stalle","Ukkel Stalle Uccle Stalle"
"Veltem","Veltem"
"Vertrijk","Vertrijk"
"Verviers-Central","Verviers Central"
"Verviers-Palais","Verviers Palais"
"Veurne","Veurne"
"Viane-Moerbeke","Viane Moerbeke"
"Vichte","Vichte"
"Vielsalm","Vielsalm"
